Expressway no.,SITE.NAME,SITE,MONTH,MONTH.CHAR,YEAR,LOCKDOWN,WVC,TRAFFIC.COUNTS
10,Namhae Expressway,K,1,Jan.,2019,no,0,1088861
,,K,2,Feb.,2019,no,0,1111314
,,K,3,Mar.,2019,no,1,1162352
,,K,4,Apr.,2019,no,2,1180493
,,K,5,May,2019,no,4,1224076
251,Honamjiseon Expressway,L,1,Jan.,2019,no,1,896686
,,L,2,Feb.,2019,no,0,863954
,,L,3,Mar.,2019,no,2,957082
,,L,4,Apr.,2019,no,4,1004305
,,L,5,May,2019,no,14,1048503
20,Iksan-Pohang Expressway,M,1,Jan.,2019,no,1,656840
,,M,2,Feb.,2019,no,0,681185
,,M,3,Mar.,2019,no,6,689790
,,M,4,Apr.,2019,no,6,695316
,,M,5,May,2019,no,11,759767
151,Seocheon-Gongju Expressway,N,1,Jan.,2019,no,2,278048
,,N,2,Feb.,2019,no,1,323479
,,N,3,Mar.,2019,no,2,321170
,,N,4,Apr.,2019,no,5,342424
,,N,5,May,2019,no,14,378165
27,Suncheon-Wanju Expressway,O,1,Jan.,2019,no,1,315910
,,O,2,Feb.,2019,no,4,364404
,,O,3,Mar.,2019,no,4,388794
,,O,4,Apr.,2019,no,10,368378
,,O,5,May,2019,no,8,396999
37,The 2nd Jungbu Expressway,P,1,Jan.,2019,no,0,947377
,,P,2,Feb.,2019,no,0,909320
,,P,3,Mar.,2019,no,1,1000997
,,P,4,Apr.,2019,no,1,1051481
,,P,5,May,2019,no,5,1107264
40,Pyeongtaek-Jecheon Expressway,Q,1,Jan.,2019,no,2,224012
,,Q,2,Feb.,2019,no,1,247765
,,Q,3,Mar.,2019,no,2,249658
,,Q,4,Apr.,2019,no,2,1051481
,,Q,5,May,2019,no,4,300227
300,Daejeon Southern Beltway,P,1,Jan.,2019,no,0,677936
,,P,2,Feb.,2019,no,0,687599
,,P,3,Mar.,2019,no,1,716197
,,P,4,Apr.,2019,no,1,724245
,,P,5,May,2019,no,1,783684
55,Jungang Expressway,A,1,Jan.,2020,no,8,484814
,,A,2,Feb.,2020,yes,3,392472
,,A,3,Mar.,2020,yes,2,399078
,,A,4,Apr.,2020,no,7,435055
,,A,5,May,2020,no,39,503513
35,Jungbu Expressway,B,1,Jan.,2020,no,9,1053060
,,B,2,Feb.,2020,yes,1,907784
,,B,3,Mar.,2020,yes,7,959232
,,B,4,Apr.,2020,no,21,1025801
,,B,5,May,2020,no,40,1128408
15,Seohaean Expressway,C,1,Jan.,2020,no,4,1647050
,,C,2,Feb.,2020,yes,5,1416553
,,C,3,Mar.,2020,yes,8,1543421
,,C,4,Apr.,2020,no,20,1626218
,,C,5,May,2020,no,39,1738948
30,Dangjin-Yeongdeok Expressway,D,1,Jan.,2020,no,7,823452
,,D,2,Feb.,2020,yes,6,637447
,,D,3,Mar.,2020,yes,10,664671
,,D,4,Apr.,2020,no,12,748492
,,D,5,May,2020,no,34,867621
50,Yeongdong Expressway,E,1,Jan.,2020,no,7,481321
,,E,2,Feb.,2020,yes,2,369576
,,E,3,Mar.,2020,yes,0,394681
,,E,4,Apr.,2020,no,5,427439
,,E,5,May,2020,no,22,480469
1,Gyeongbu Expressway,F,1,Jan.,2020,no,4,2291379
,,F,2,Feb.,2020,yes,2,2082407
,,F,3,Mar.,2020,yes,5,2327202
,,F,4,Apr.,2020,no,12,2349568
,,F,5,May,2020,no,39,2437598
25,Honam Expressway,G,1,Jan.,2020,no,0,1188010
,,G,2,Feb.,2020,yes,0,880748
,,G,3,Mar.,2020,yes,0,930395
,,G,4,Apr.,2020,no,2,1000688
,,G,5,May,2020,no,4,1203788
45,Jungbunaeryuk Expressway,H,1,Jan.,2020,no,5,144149
,,H,2,Feb.,2020,yes,3,100712
,,H,3,Mar.,2020,yes,3,110954
,,H,4,Apr.,2020,no,6,139125
,,H,5,May,2020,no,12,164400
12,"Muan-Gwangju, Gwangju-Daegu Expressway",I,1,Jan.,2020,no,1,1098706
,,I,2,Feb.,2020,yes,2,888943
,,I,3,Mar.,2020,yes,0,923144
,,I,4,Apr.,2020,no,2,1020572
,,I,5,May,2020,no,16,1180836
65,Donghae Expressway,J,1,Jan.,2020,no,0,496113
,,J,2,Feb.,2020,yes,2,354350
,,J,3,Mar.,2020,yes,0,356731
,,J,4,Apr.,2020,no,2,403196
,,J,5,May,2020,no,6,485380
10,Namhae Expressway,K,1,Jan.,2020,no,0,1239657
,,K,2,Feb.,2020,yes,4,1031684
,,K,3,Mar.,2020,yes,2,1082117
,,K,4,Apr.,2020,no,1,1137534
,,K,5,May,2020,no,3,1271174
251,Honamjiseon Expressway,L,1,Jan.,2020,no,0,970200
,,L,2,Feb.,2020,yes,2,764730
,,L,3,Mar.,2020,yes,0,811141
,,L,4,Apr.,2020,no,5,903852
,,L,5,May,2020,no,6,1033012
20,Iksan-Pohang Expressway,M,1,Jan.,2020,no,3,739526
,,M,2,Feb.,2020,yes,3,526738
,,M,3,Mar.,2020,yes,2,534323
,,M,4,Apr.,2020,no,4,604792
,,M,5,May,2020,no,11,728651
151,Seocheon-Gongju Expressway,N,1,Jan.,2020,no,1,355353
,,N,2,Feb.,2020,yes,0,226190
,,N,3,Mar.,2020,yes,1,272961
,,N,4,Apr.,2020,no,4,309480
,,N,5,May,2020,no,25,405189
27,Suncheon-Wanju Expressway,O,1,Jan.,2020,no,1,381477
,,O,2,Feb.,2020,yes,2,247591
,,O,3,Mar.,2020,yes,1,285972
,,O,4,Apr.,2020,no,1,305262
,,O,5,May,2020,no,4,390038
37,The 2nd Jungbu Expressway,P,1,Jan.,2020,no,0,1053060
,,P,2,Feb.,2020,yes,1,907784
,,P,3,Mar.,2020,yes,0,959232
,,P,4,Apr.,2020,no,1,1025801
,,P,5,May,2020,no,3,1128408
40,Pyeongtaek-Jecheon Expressway,Q,1,Jan.,2020,no,2,274891
,,Q,2,Feb.,2020,yes,1,193059
,,Q,3,Mar.,2020,yes,0,186181
,,Q,4,Apr.,2020,no,0,244909
,,Q,5,May,2020,no,1,286285
300,Daejeon Southern Beltway,P,1,Jan.,2020,no,0,735638
,,P,2,Feb.,2020,yes,0,582325
,,P,3,Mar.,2020,yes,0,615475
,,P,4,Apr.,2020,no,0,672586
,,P,5,May,2020,no,0,796950
