Treatment,SPL,Site
Post Lockdown,110.8955114,ST1RC
Post Lockdown,99.78601655,ST1RC
Post Lockdown,103.0065425,ST1RC
Post Lockdown,102.915729,ST1RC
Post Lockdown,108.4465779,ST1RC
Post Lockdown,107.8855454,ST1RC
Post Lockdown,106.1321526,ST1RC
Post Lockdown,103.0831452,ST1RC
Post Lockdown,100.9005001,ST1RC
Post Lockdown,107.5126333,ST1RC
Post Lockdown,105.277481,ST1RC
Post Lockdown,99.89862162,ST1RC
Post Lockdown,101.6337977,ST1RC
Post Lockdown,104.2898576,ST1RC
Post Lockdown,101.3593109,ST1RC
Post Lockdown,100.4053918,ST1RC
Post Lockdown,99.89483703,ST1RC
Post Lockdown,101.9704024,ST1RC
Post Lockdown,100.4302196,ST1RC
Post Lockdown,102.2378849,ST1RC
Post Lockdown,102.6537125,ST1RC
Post Lockdown,101.0669074,ST1RC
Post Lockdown,100.0857797,ST1RC
Post Lockdown,103.3407246,ST1RC
Post Lockdown,103.1958618,ST1RC
Post Lockdown,116.9961278,ST1RC
Post Lockdown,100.4622642,ST1RC
Post Lockdown,101.345734,ST1RC
Post Lockdown,101.7366111,ST1RC
Post Lockdown,102.4661647,ST1RC
Post Lockdown,100.8402456,ST1RC
Post Lockdown,102.3769864,ST1RC
Post Lockdown,112.2129822,ST1RC
Post Lockdown,107.4763871,ST1RC
Post Lockdown,102.9698497,ST1RC
Post Lockdown,107.8303226,ST1RC
Post Lockdown,109.4624846,ST1RC
Post Lockdown,118.1877974,ST1RC
Post Lockdown,102.4367378,ST1RC
Post Lockdown,122.5692449,ST1RC
Post Lockdown,100.1190827,ST1RC
Post Lockdown,101.1746606,ST1RC
Post Lockdown,100.0634217,ST1RC
Post Lockdown,110.3224398,ST1RC
Post Lockdown,105.2914961,ST1RC
Post Lockdown,100.2608548,ST1RC
Post Lockdown,103.589773,ST1RC
Post Lockdown,99.83992057,ST1RC
Post Lockdown,107.1780144,ST1RC
Post Lockdown,114.0898357,ST1RC
Post Lockdown,111.0345966,ST1RC
Post Lockdown,100.713216,ST1RC
Post Lockdown,101.0792012,ST1RC
Post Lockdown,102.7668348,ST1RC
Post Lockdown,104.9976036,ST1RC
Post Lockdown,104.4413262,ST1RC
Post Lockdown,108.1952917,ST1RC
Post Lockdown,102.9241799,ST1RC
Post Lockdown,100.7594967,ST1RC
Post Lockdown,101.1385465,ST1RC
Post Lockdown,106.719673,ST1RC
Post Lockdown,101.9663122,ST1RC
Post Lockdown,104.6751836,ST1RC
Post Lockdown,101.3758915,ST1RC
Post Lockdown,107.8205862,ST1RC
Post Lockdown,105.1669625,ST1RC
Post Lockdown,110.9492141,ST1RC
Post Lockdown,103.3372829,ST1RC
Post Lockdown,117.9973311,ST1RC
Post Lockdown,101.1618164,ST1RC
Post Lockdown,118.8095099,ST1RC
Post Lockdown,101.4593349,ST1RC
Post Lockdown,103.4419179,ST1RC
Post Lockdown,100.2031194,ST1RC
Post Lockdown,102.79241,ST1RC
Post Lockdown,104.8725847,ST1RC
Post Lockdown,102.5626711,ST1RC
Post Lockdown,101.2592928,ST1RC
Post Lockdown,100.2235541,ST1RC
Post Lockdown,100.0563863,ST1RC
Post Lockdown,100.3165093,ST1RC
Post Lockdown,102.8281985,ST1RC
Post Lockdown,101.9845972,ST1RC
Post Lockdown,115.7185665,ST1RC
Post Lockdown,101.2067973,ST1RC
Pre Lockdown,110.2963709,ST2NS
Pre Lockdown,108.1844108,ST2NS
Pre Lockdown,109.433326,ST2NS
Pre Lockdown,113.0512304,ST2NS
Pre Lockdown,108.9975802,ST2NS
Pre Lockdown,111.3891183,ST2NS
Pre Lockdown,108.6078781,ST2NS
Pre Lockdown,108.5463567,ST2NS
Pre Lockdown,112.9403578,ST2NS
Pre Lockdown,123.5788087,ST2NS
Pre Lockdown,125.1160862,ST2NS
Pre Lockdown,114.2227357,ST2NS
Pre Lockdown,110.2094314,ST2NS
Pre Lockdown,108.0314066,ST2NS
Pre Lockdown,109.6696958,ST2NS
Pre Lockdown,107.7785173,ST2NS
Pre Lockdown,110.4890941,ST2NS
Pre Lockdown,112.0590766,ST2NS
Pre Lockdown,107.5185806,ST2NS
Pre Lockdown,109.1593736,ST2NS
Pre Lockdown,107.4261131,ST2NS
Pre Lockdown,117.4137833,ST2NS
Pre Lockdown,111.0159014,ST2NS
Pre Lockdown,108.1324902,ST2NS
Pre Lockdown,107.5842301,ST2NS
Pre Lockdown,107.3970257,ST2NS
Pre Lockdown,113.2082211,ST2NS
Pre Lockdown,120.5633738,ST2NS
Pre Lockdown,107.7692013,ST2NS
Pre Lockdown,118.765807,ST2NS
Pre Lockdown,108.5801573,ST2NS
Pre Lockdown,108.2854312,ST2NS
Pre Lockdown,118.1720659,ST2NS
Pre Lockdown,107.2477284,ST2NS
Pre Lockdown,106.8901311,ST2NS
Pre Lockdown,110.4623549,ST2NS
Pre Lockdown,109.6543502,ST2NS
Pre Lockdown,110.7527348,ST2NS
Pre Lockdown,111.1527193,ST2NS
Pre Lockdown,111.7533493,ST2NS
Pre Lockdown,113.0627545,ST2NS
Pre Lockdown,107.9952361,ST2NS
Pre Lockdown,108.31513,ST2NS
Pre Lockdown,109.1978938,ST2NS
Pre Lockdown,108.4452058,ST2NS
Pre Lockdown,107.844009,ST2NS
Pre Lockdown,110.1140952,ST2NS
Pre Lockdown,110.5103384,ST2NS
Pre Lockdown,109.230847,ST2NS
Pre Lockdown,116.486495,ST2NS
Pre Lockdown,126.6508648,ST2NS
Pre Lockdown,107.4220838,ST2NS
Pre Lockdown,113.2884112,ST2NS
Pre Lockdown,108.9129345,ST2NS
Pre Lockdown,109.1742677,ST2NS
Pre Lockdown,108.0203373,ST2NS
Pre Lockdown,114.9646563,ST2NS
Pre Lockdown,107.8234836,ST2NS
Pre Lockdown,123.4799812,ST2NS
Pre Lockdown,113.3962893,ST2NS
Pre Lockdown,108.3717997,ST2NS
Pre Lockdown,112.1854669,ST2NS
Pre Lockdown,107.3148921,ST2NS
Pre Lockdown,108.5362469,ST2NS
Pre Lockdown,106.5020712,ST2NS
Pre Lockdown,108.7198274,ST2NS
Pre Lockdown,124.7548865,ST2NS
Pre Lockdown,116.8515798,ST2NS
Pre Lockdown,114.8814504,ST2NS
Pre Lockdown,108.1889455,ST2NS
Pre Lockdown,129.3422729,ST2NS
Pre Lockdown,108.4283185,ST2NS
Pre Lockdown,109.7432227,ST2NS
Pre Lockdown,107.601073,ST2NS
Pre Lockdown,106.9224137,ST2NS
Pre Lockdown,107.3869532,ST2NS
Pre Lockdown,115.211603,ST2NS
Pre Lockdown,109.4318444,ST2NS
Pre Lockdown,106.9085147,ST2NS
Pre Lockdown,107.5228581,ST2NS
Pre Lockdown,109.1875183,ST2NS
Pre Lockdown,110.055164,ST2NS
Pre Lockdown,127.2418157,ST2NS
Pre Lockdown,118.0685344,ST2NS
Post Lockdown,106.9828163,ST2NS
Post Lockdown,109.4466101,ST2NS
Post Lockdown,106.6581329,ST2NS
Post Lockdown,107.1648572,ST2NS
Post Lockdown,106.5170801,ST2NS
Post Lockdown,106.6329457,ST2NS
Post Lockdown,106.7320758,ST2NS
Post Lockdown,107.4196743,ST2NS
Post Lockdown,108.3253537,ST2NS
Post Lockdown,107.1633338,ST2NS
Post Lockdown,107.194905,ST2NS
Post Lockdown,106.0349513,ST2NS
Post Lockdown,106.2699838,ST2NS
Post Lockdown,128.5116091,ST2NS
Post Lockdown,123.1717665,ST2NS
Post Lockdown,122.180412,ST2NS
