county_code,pre.pan,pan,est,error,t.stat,p.value,degrees.freedom,skewness,country_code,state_code,lat,lon,area_developed,area_undeveloped,delta_traffic,c_delta_traffic,confident
US-NJ-013,-19.292,5.214,24.506,14.447,1.696,0.095,56,2.8248849705609516,US,US-NJ,40.79477545,-74.24501055,270667800,63997200,-18.42391304347826,-4.366857360793288,no
US-NV-003,17.896,47.538,29.642,22.458,1.32,0.195,39,3.357054770504078,US,US-NV,35.92562325,-114.9245866,1146985000,19751640000,-14.858695652173912,-0.8016399694889387,no
US-NV-031,53.718,68.292,14.574,18.459,0.79,0.435,37,1.8219140562237794,US,US-NV,40.5816165,-119.6389242,398306700,16553550000,-12.521739130434783,1.5353165522501904,no
US-NY-005,10.217,-26.504,-36.721,20.073,-1.829,0.073,53,3.9345638615156537,US,US-NY,40.8554041,-73.85647505,98752500,16646400,-17.380434782608695,-3.323379099923722,no
US-NY-047,18.337,29.903,11.566,18.92,0.611,0.543,62,3.4322439800013673,US,US-NY,40.64234875,-73.94266875,168031800,14094900,-20.141304347826086,-6.0842486651411125,no
US-NY-061,-21.146,-18.946,2.199,8.959,0.246,0.807,52,1.8982362514580018,US,US-NY,40.78201345,-73.97904625,52655400,16373700,-21.945652173913043,-7.8885964912280695,no
US-NY-081,-27.293,-15.573,11.719,6.839,1.714,0.092,61,1.4717668505786794,US,US-NY,40.64250175,-73.8423445,260910000,27754200,-22.27173913043478,-8.214683447749808,no
US-OH-035,33.202,17.677,-15.525,16.211,-0.958,0.342,65,3.5899946735134836,US,US-OH,41.4505163,-81.67266485,919834200,277530300,-12.891304347826088,1.1657513348588857,no
US-OH-049,9.764,31.387,21.623,14.442,1.497,0.139,72,3.3663390210799986,US,US-OH,39.9744974,-83.0161585,888265800,529014600,-14.271739130434783,-0.21468344774980963,no
US-OH-113,16.407,15.559,-0.848,12.663,-0.067,0.947,63,4.393063011376762,US,US-OH,39.7495545,-84.2682494,537767100,665713800,-11.456521739130435,2.600533943554538,no
US-OH-153,-22.984,-15.995,6.989,5.608,1.246,0.217,64,2.5369005833489786,US,US-OH,41.12926315,-81.5397615,610574400,473745600,-12.423913043478262,1.6331426392067119,no
US-PA-101,15.584,-14.049,-29.633,9.099,-3.257,0.002,65,2.3697137644297146,US,US-PA,40.00072905,-75.11888695,316526400,52009200,-15.576086956521738,-1.5190312738367648,yes
US-SC-045,8.168,3.771,-4.397,12.998,-0.338,0.736,54,2.817952207749563,US,US-SC,34.86252985,-82.41598455,595599300,1455104000,-11.032608695652174,3.0244469870327997,no
US-TN-037,17.387,-20.408,-37.796,13.109,-2.883,0.005,60,2.8056264415055305,US,US-TN,36.1829325,-86.77239535,559029600,813273300,-13.380434782608695,0.6766209000762782,yes
US-TN-157,-30.367,-18.861,11.506,9.129,1.26,0.213,58,4.472830266618972,US,US-TN,35.1977483,-89.9026591,860136300,1162978000,-10.25,3.8070556826849735,no
US-TX-029,12.905,17.107,4.202,15.041,0.279,0.781,38,1.813567944294841,US,US-TX,29.4331065,-98.4840635,1290532000,1969897000,-13.358695652173912,0.6983600305110613,no
US-TX-061,100.063,42.564,-57.499,34.241,-1.679,0.101,39,1.9734425933605846,US,US-TX,26.12179285,-97.5040865,381394800,2201118500,-14.184782608695652,-0.1277269260106788,no
US-TX-113,-13.426,53.19,66.616,16.764,3.974,0,52,2.6182505544740993,US,US-TX,32.7675986,-96.7775174,1542129000,809843400,-13.652173913043478,0.404881769641495,yes
US-TX-201,4.097,41.744,37.646,16.727,2.251,0.03,40,2.479956532401368,US,US-TX,29.8268127,-95.43505585,2929067000,1628323200,-13.804347826086957,0.25270785659801653,yes
US-TX-215,31.308,9.676,-21.632,15.8,-1.369,0.179,38,1.7098881730246684,US,US-TX,26.41799335,-98.208616,719735400,3418030000,-13.652173913043478,0.404881769641495,no
US-TX-355,29.551,-10.983,-40.534,14.733,-2.751,0.009,43,2.076266745870733,US,US-TX,27.77005695,-97.475386,368542800,1835648100,-10.41304347826087,3.6440122044241043,yes
US-TX-439,48.505,38.348,-10.157,21.81,-0.466,0.644,47,2.6019024754616398,US,US-TX,32.77189005,-97.291823,1413645000,902392200,-13.228260869565217,0.8287948131197567,no
US-TX-453,36.672,18.158,-18.514,13.055,-1.418,0.163,45,2.9655951406138477,US,US-TX,30.3428035,-97.78131995,792982800,1880345000,-17.217391304347824,-3.160335621662851,no
US-UT-035,15.507,15.587,0.081,13.834,0.006,0.995,36,2.1295540832194795,US,US-UT,40.6379306,-111.8935549,694606500,1391054000,-12.347826086956522,1.709229595728452,no
US-WI-009,-47.246,-51.177,-3.931,12.958,-0.303,0.763,62,4.32142282998048,US,US-WI,44.45907725,-88.00611265,308105100,1080376000,-12.902173913043478,1.154881769641495,no
US-WI-079,-6.533,37.687,44.219,20.327,2.175,0.033,64,5.047171378955363,US,US-WI,43.0174741,-87.95416455,492333300,131278500,-13.228260869565217,0.8287948131197567,yes
US-WY-025,46.22,24.234,-21.986,44.807,-0.491,0.631,15,2.168759413041815,US,US-WY,42.9605133,-106.822485,156351600,13779270000,-8.565217391304348,5.491838291380626,no
