id,date,month,lon,lat,g,cov,sex,length,bathy,ground,year
ct105-14f-13,2014-04-18 11:00,04,32.12724288,-68.1633133,0.137083595,non-cov,f,2.32,-489.043396,0,2014
ct105-14f-13,2014-04-19 11:00,04,32.41651244,-68.14646979,0.14104963,non-cov,f,2.32,-512.9348145,0,2014
ct105-14f-13,2014-03-10 11:00,03,43.25046039,-66.60466334,0.872366791,non-cov,f,2.32,-3016.664063,0,2014
ct105-14f-13,2014-03-23 11:00,03,35.13446315,-68.11151336,0.752982732,non-cov,f,2.32,-1958.317017,0,2014
ct105-14f-13,2014-03-21 11:00,03,37.33900015,-68.06920027,0.772596497,non-cov,f,2.32,-2071.300049,0,2014
ct105-14f-13,2014-04-08 11:00,04,31.97370911,-68.13631486,0.504894842,non-cov,f,2.32,-631.0482788,0,2014
ct105-14f-13,2014-03-20 11:00,03,38.21819968,-68.12108214,0.7457212,non-cov,f,2.32,-2481.159912,0,2014
ct105-14f-13,2014-03-26 11:00,03,33.68373957,-67.62787784,0.648466291,non-cov,f,2.32,-1013.879028,0,2014
ct105-14f-13,2014-05-01 11:00,05,32.00434395,-68.24473574,0.201825509,non-cov,f,2.32,-467.9155884,0,2014
ct105-14f-13,2014-03-19 11:00,03,39.00453648,-67.89823017,0.719052427,non-cov,f,2.32,-2954.930908,0,2014
ct105-14f-13,2014-03-11 11:00,03,41.70592046,-67.08135296,0.818499385,non-cov,f,2.32,-3833.200928,0,2014
ct105-14f-13,2014-04-24 11:00,04,31.63975545,-68.33282309,0.156821846,non-cov,f,2.32,-512.8032837,0,2014
ct105-14f-13,2014-03-12 11:00,03,40.06452821,-67.41719259,0.69720512,non-cov,f,2.32,-2631.852051,0,2014
ct105-14f-13,2014-04-09 11:00,04,31.49695649,-68.0740443,0.428276727,non-cov,f,2.32,-1517.072021,0,2014
ct105-14f-13,2014-03-05 11:00,03,51.24432007,-64.3905569,0.942300271,non-cov,f,2.32,-3402.705078,0,2014
ct105-14f-13,2014-04-22 11:00,04,32.146041,-68.18544087,0.150933886,non-cov,f,2.32,-506.4190979,0,2014
ct105-14f-13,2014-04-28 11:00,04,32.88880438,-68.06182197,0.187503971,non-cov,f,2.32,-522.1240234,0,2014
ct105-14f-13,2014-04-25 11:00,04,31.6333546,-68.44093915,0.157033211,non-cov,f,2.32,-411.1375122,0,2014
ct105-14f-13,2014-04-23 11:00,04,32.10443131,-68.18281333,0.154409798,non-cov,f,2.32,-506.3615112,0,2014
ct105-14f-13,2014-03-07 11:00,03,47.66302563,-65.14430347,0.926892939,non-cov,f,2.32,-2796.480957,0,2014
ct105-14f-13,2014-04-15 11:00,04,32.54595971,-68.07120905,0.170598458,non-cov,f,2.32,-514.5969849,0,2014
ct105-14f-13,2014-03-09 11:00,03,44.72354566,-65.97193872,0.907006239,non-cov,f,2.32,-3572.931885,0,2014
ct105-14f-13,2014-03-18 11:00,03,38.93994154,-67.77750261,0.68592403,non-cov,f,2.32,-3433.512939,0,2014
ct105-14f-13,2014-06-07 11:00,06,20.32239085,-61.31917492,0.58343368,non-cov,f,2.32,-5262.12207,0,2014
ct105-14f-13,2014-06-17 11:00,06,20.5857625,-60.86457532,0.664914342,non-cov,f,2.32,-5238.664063,0,2014
ct105-14f-13,2014-06-18 11:00,06,20.90200906,-60.72534898,0.684183122,non-cov,f,2.32,-5339.526855,0,2014
ct105-14f-13,2014-05-14 11:00,05,31.13608474,-67.6292616,0.682227557,non-cov,f,2.32,-3421.583984,0,2014
ct105-14f-13,2014-06-13 11:00,06,20.22538015,-61.24441663,0.560974207,non-cov,f,2.32,-5322.939941,0,2014
ct105-14f-13,2014-06-24 11:00,06,20.160763,-59.10209494,0.55919567,non-cov,f,2.32,-4817.873047,0,2014
ct105-14f-13,2014-07-07 11:00,07,16.40201905,-57.86031127,0.361809126,non-cov,f,2.32,-5538.414063,0,2014
ct105-14f-13,2014-05-15 11:00,05,30.85412029,-67.29843493,0.705261982,non-cov,f,2.32,-3832.76709,0,2014
ct105-14f-13,2014-05-11 11:00,05,32.02652428,-68.1515171,0.4425429,non-cov,f,2.32,-559.9547119,0,2014
ct105-14f-13,2014-06-11 11:00,06,20.40035069,-61.17469581,0.551282903,non-cov,f,2.32,-5296.020996,0,2014
ct105-14f-13,2014-06-16 11:00,06,20.20306105,-61.02716084,0.635438544,non-cov,f,2.32,-5294.11377,0,2014
ct105-14f-13,2014-06-25 11:00,06,20.26851079,-59.14210506,0.560995313,non-cov,f,2.32,-4722.803223,0,2014
ct105-14f-13,2014-05-12 11:00,05,32.17056807,-68.04049493,0.528668352,non-cov,f,2.32,-610.3051758,0,2014
ct105-14f-13,2014-06-26 11:00,06,20.08304163,-59.06932022,0.573348476,non-cov,f,2.32,-4809.225098,0,2014
