"MRGID","TERRITORY1","SOVEREIGN1","ISO_SOV1","n","int","beta","change","t_after","p_after"
3293,"Belgium","Belgium","BEL",19,6.76023171404726,-0.0713527880376443,-6.88666585276937,-0.258050270629094,0.79783765333053
5668,"Netherlands","Netherlands","NLD",221,6.1930839902277,-0.0924100092183004,-8.82687453188737,-0.79460933654982,0.427269164602459
5669,"Germany","Germany","DEU",254,5.6220257003842,-0.127167485891407,-11.9413825514818,-1.06161687699659,0.288916075911648
5670,"Albania","Albania","ALB",49,3.75691949084561,-0.168875657791215,-15.538608198284,-0.660532732824181,0.510493921557726
5672,"Bulgaria","Bulgaria","BGR",99,4.61841541274672,0.0484483422480649,4.96411483177445,0.386839138529697,0.699294970924893
5673,"Croatia","Croatia","HRV",160,4.77280102741359,-0.300305457667604,-25.9408033366814,-2.55401164278173,0.0111149367903352
5674,"Denmark","Denmark","DNK",419,5.7192705106985,0.00425220051548327,0.426125394788367,0.0486871933644396,0.961180210841
5675,"Estonia","Estonia","EST",182,5.12641388018273,-0.0593774796884431,-5.76490163452901,-0.385618269334333,0.700005905147994
5676,"Finland","Finland","FIN",374,4.42459042689168,-0.0380286370522145,-3.73146279748088,-0.297918687235527,0.765848175239806
5677,"France","France","FRA",912,5.41863617077867,-0.157190961608205,-14.5459141260956,-1.84130915011529,0.0657387406779033
5678,"Georgia","Georgia","GEO",71,2.99573227375335,0.092104021272023,9.64788732759832,0.539120530033454,0.590660002199886
5679,"Greece","Greece","GRC",1007,5.25691592593129,-0.0390754056511533,-3.8321809557909,-0.738707615031435,0.460170721430477
5680,"Iceland","Iceland","ISL",2647,2.23834371949333,-0.192175368914652,-17.4837851987992,-3.623935891852,0.000292877705048038
5681,"Ireland","Ireland","IRL",1089,3.41987704453302,-0.118917789761809,-11.2119209347064,-2.33154800114959,0.0198153410194054
5682,"Italy","Italy","ITA",1214,4.96932123271368,-0.191014874551011,-17.3879700108739,-3.09016267181256,0.00202316669466877
5683,"Latvia","Latvia","LVA",120,4.66689224463166,-0.141667548789241,-13.2090253825171,-1.16076700791568,0.246899615683456
5684,"Lithuania","Lithuania","LTU",37,4.40242526925129,-0.191299172702788,-17.4114531200539,-0.769939623358579,0.443854553776413
5685,"Malta","Malta","MLT",122,5.29835834931476,-0.09755440760598,-9.29470103684088,-0.490212599876936,0.624427606217348
5686,"Norway","Norway","NOR",3953,3.828927324437,-0.0855580081401648,-8.20001099566732,-2.21299124698075,0.0269267125579601
5687,"Poland","Poland","POL",135,4.78421477696479,-0.165653170940492,-15.2659934610183,-1.18433520439098,0.237329681584388
5688,"Portugal","Portugal","PRT",621,5.35455614133189,-0.127062168135084,-11.9321079270846,-1.39657995476471,0.162789837546381
5689,"Romania","Romania","ROU",87,4.45341127963286,0.0533981011137603,5.48494983019249,0.365032571208986,0.715535549693373
5690,"Russia","Russia","RUS",37337,1.79892942545464,-0.0101652152075196,-1.01137240280815,-0.370680982125239,0.710876208339817
5691,"Montenegro","Montenegro","MNE",26,2.36592097257528,0.318781864680723,37.5451257680355,1.07058000419211,0.289499150589796
5692,"Slovenia","Slovenia","SVN",3,4.27666611901605,-0.630346279320604,-46.7592592592427,-0.964859587431857,0.389253896583152
5693,"Spain","Spain","ESP",1242,5.32970758173457,-0.166533211702887,-15.3405300383099,-2.11278653332462,0.0347186415006889
5694,"Sweden","Sweden","SWE",656,5.07893958168044,-0.0308342460499704,-3.03637191996773,-0.352853937197797,0.724254710523039
5695,"Ukraine","Ukraine","UKR",376,4.53562625083934,0.0856633170286346,8.94394708330996,0.8659359977007,0.386802176573757
5696,"United Kingdom","United Kingdom","GBR",2232,4.8253164182993,-0.161011228708953,-14.8717487750082,-2.2196291796916,0.0264940370626729
5697,"Turkey","Turkey","TUR",730,4.87912143435494,0.0500066098299163,5.12780451221319,0.494848374447741,0.62078171372236
8308,"Cocos Islands","Australia","AUS",703,2.23277904805306,0.0134840312837194,1.35753508237679,0.311765919752982,0.75526471518613
8309,"Christmas Island","Australia","AUS",503,2.20053255264498,-0.0236143741534612,-2.3337736639067,-0.173105977053157,0.862603018312715
8310,"Norfolk Island","Australia","AUS",723,2.3427097489947,-0.422821884929039,-34.4804677119177,-9.27237562723768,6.41728536477955e-20
8311,"Macquarie Island","Australia","AUS",1177,-3.63673690276349,0.626455806049838,87.0967741914088,2.86929348421085,0.00415060803417829
8312,"New Caledonia","France","FRA",1833,2.21863404862618,-0.279762877355601,-24.4037023855445,-7.40309297405219,1.64186331339057e-13
8313,"Vanuatu","Vanuatu","VUT",962,1.77269461545327,-0.00265228636679844,-0.264877216289098,-0.0538646852233515,0.957048570880538
8314,"Solomon Islands","Solomon Islands","SLB",2365,2.45413499129386,0.122487713420062,13.0305232403103,3.86208120682123,0.000113928154695052
8315,"Palau","Palau","PLW",914,3.21440193742878,-0.524160728019163,-40.794795139333,-9.02900882178761,4.28401689769479e-19
8316,"Micronesia","Micronesia","FSM",4240,2.78594255786296,-0.0155525954593704,-1.54322784016856,-0.654677550791126,0.512693142065756
8317,"Nauru","Nauru","NRU",474,1.57858713671363,0.539649029304872,71.5404699740459,10.3891772571254,5.13269418210195e-24
8318,"Marshall Islands","Marshall Islands","MHL",2868,1.6921805448748,-0.0369455836709768,-3.62714235064794,-1.05110447616865,0.29325490353449
8319,"Wake Island","United States","USA",639,0.792149497476481,0.62610138465513,87.0304748414027,11.4128626633111,8.52030651601255e-29
8321,"Taiwan","Taiwan","TWN",624,5.30986897876818,0.00816459857200252,0.819801980197975,0.102124928970298,0.918673946030964
