"Value","Std.Error","DF","t-value","p-value"
"(Intercept)",95.8105789632843,8.36896232083302,1807,11.4483224192301,2.39704310559797e-29
"CovidAfter",19.0908158676715,7.52569891940271,1807,2.53674988491124,0.0112722001128011
