month,landings,Year,Factor
2,0,2016,a_Before
3,0,2016,a_Before
4,199,2016,a_Before
5,685,2016,a_Before
2,0,2017,a_Before
3,0,2017,a_Before
4,0,2017,a_Before
5,0,2017,a_Before
2,0,2018,a_Before
3,261,2018,a_Before
4,238,2018,a_Before
5,169,2018,a_Before
2,0,2019,a_Before
3,0,2019,a_Before
4,0,2019,a_Before
5,0,2019,a_Before
2,175,2020,b_After
3,760,2020,b_After
4,4504,2020,b_After
5,428,2020,b_After
