abund.p,abund.jm,abund.cm,abund.hc,food.source,site.id,tc,Covid,date,time,cb.phase,litter,bins,others,feeding,f.total
0,0,0,0,gs,GS15,TP,yes,206,115,p0,0,0,0,0,0
0,0,0,0,gs,GS16,TP,yes,206,82,p0,0,0,0,0,0
0,1,0,0,gs,GS31,TP,yes,206,200,p0,0,0,0,0,0
2,2,0,0,gs,GS32,TP,yes,206,233,p0,0,0,0,0,0
0,4,0,0,gs,GS33,TP,yes,206,250,p0,0,0,0,0,0
23,23,0,0,bc,BC29,TP,yes,206,35,p0,1,1,0,1,3
0,2,0,1,bc,BC46,CCK,yes,206,28,p0,0,0,0,0,0
10,1,0,0,bc,BC47,CCK,yes,206,142,p0,0,0,0,0,0
6,2,0,0,bc,BC48,CCK,yes,206,100,p0,1,4,0,1,6
4,4,0,0,bc,BC49,CCK,yes,206,49,p0,1,5,0,0,6
4,2,0,0,bc,BC50,CCK,yes,206,65,p0,1,0,0,1,2
3,16,0,0,fh,MF11,MP,yes,206,160,p0,10,0,0,0,10
45,8,0,0,fh,MF41,CCK,yes,206,123,p0,1,0,0,0,1
9,3,0,0,fh,MF42,CCK,yes,206,89,p0,0,3,0,0,3
55,15,0,4,fh,MF50,AMK,yes,206,25,p0,1,1,0,0,2
2,4,0,2,fh,MF7,AH,yes,206,123,p0,0,0,0,0,0
7,7,0,1,hc,HC26,MP,yes,207,58,p0,6,2,0,0,8
4,1,5,1,gs,GS6,ECFS,yes,207,55,p0,0,0,0,0,0
16,14,0,4,bc,BC25,ECFS,yes,207,88,p0,8,0,0,0,8
76,11,1,1,fh,MF2,MP,yes,207,85,p0,3,0,1,1,5
21,5,0,0,fh,MF30,MP,yes,207,132,p0,1,0,0,0,1
4,1,0,0,fh,MF35,TP,yes,207,240,p0,0,0,0,0,0
19,11,0,0,fh,MF37,MP,yes,207,36,p0,0,1,0,0,1
0,1,1,0,hc,HC8,ECFS,yes,258,135,p2,1,3,0,0,4
12,26,1,4,hc,HC10,ECFS,yes,258,34,p2,31,4,0,2,37
0,2,0,0,hc,HC41,TP,yes,258,158,p2,0,1,0,0,1
0,27,0,0,hc,HC42,TP,yes,258,241,p2,10,0,0,0,10
13,13,4,10,gs,GS6,ECFS,yes,258,69,p2,4,0,0,0,4
0,14,0,1,gs,GS7,ECFS,yes,258,99,p2,1,0,0,0,1
0,0,0,0,gs,GS10,PRPG,yes,258,192,p2,0,0,0,0,0
0,1,0,0,gs,GS11,PRPG,yes,258,159,p2,0,0,0,0,0
0,0,0,0,gs,GS30,PRPG,yes,258,60,p2,0,0,0,0,0
0,0,0,0,gs,GS31,TP,yes,258,54,p2,0,0,0,0,0
0,4,0,0,gs,GS32,TP,yes,258,95,p2,0,0,0,0,0
0,1,0,0,gs,GS33,TP,yes,258,120,p2,0,0,0,0,0
1,11,0,0,bc,BC2,PRPG,yes,258,26,p2,2,1,3,0,6
9,5,0,1,bc,BC22,ECFS,yes,258,165,p2,6,5,0,0,11
4,3,0,2,bc,BC25,ECFS,yes,258,195,p2,2,1,0,0,3
2,18,0,4,bc,BC26,ECFS,yes,258,51,p2,0,5,1,0,6
5,17,0,1,bc,BC27,TP,yes,258,180,p2,0,1,0,0,1
31,7,1,0,bc,BC4,PRPG,yes,258,118,p2,2,3,2,0,7
10,19,0,0,fh,MF36,PRPG,yes,258,100,p2,2,1,0,0,3
10,8,0,0,hc,HC21,JC,yes,259,38,p2,0,0,0,0,0
4,3,0,1,hc,HC27,MP,yes,259,223,p2,13,4,0,0,17
18,8,0,1,hc,HC28,MP,yes,259,256,p2,28,8,0,0,36
0,6,0,6,hc,HC29,MP,yes,259,192,p2,13,4,0,0,17
5,14,2,1,hc,HC30,MP,yes,259,118,p2,32,3,0,0,35
3,37,2,8,hc,HC31,MP,yes,259,51,p2,14,0,0,0,14
9,10,0,0,hc,HC34,T,yes,259,185,p2,0,0,0,0,0
2,15,0,1,hc,HC36,TP,yes,259,105,p2,8,3,0,0,11
0,37,0,0,hc,HC37,TP,yes,259,190,p2,19,0,0,0,19
11,10,0,0,hc,HC39,TP,yes,259,255,p2,5,0,0,0,5
0,1,0,0,gs,GS8,CCK,yes,259,215,p2,0,0,0,0,0
0,2,0,0,gs,GS12,MP,yes,259,91,p2,0,0,1,0,1
2,0,0,0,gs,GS13,MP,yes,259,77,p2,0,0,0,0,0
0,0,0,2,gs,GS14,ECFS,yes,259,39,p2,0,0,0,0,0
0,0,0,0,gs,GS21,JC,yes,259,120,p2,0,0,0,0,0
0,0,0,0,gs,GS22,JC,yes,259,101,p2,0,0,0,0,0
0,0,0,0,gs,GS27,TP,yes,259,225,p2,0,0,0,0,0
0,2,3,0,gs,GS28,PRPG,yes,259,215,p2,0,0,0,0,0
3,2,0,0,gs,GS35,T,yes,259,168,p2,0,0,0,0,0
8,9,0,1,gs,GS40,T,yes,259,153,p2,0,0,0,0,0
0,5,0,0,bc,BC1,PRPG,yes,259,87,p2,1,4,0,0,5
6,0,0,0,bc,BC10,T,yes,259,134,p2,0,0,0,0,0
5,6,0,2,bc,BC11,T,yes,259,95,p2,0,1,0,0,1
26,13,0,2,bc,BC28,TP,yes,259,76,p2,2,1,0,0,3
5,7,2,0,bc,BC3,PRPG,yes,259,56,p2,1,8,4,1,14
25,8,0,1,bc,BC30,TP,yes,259,165,p2,0,1,0,0,1
3,12,0,0,bc,BC31,TP,yes,259,56,p2,2,1,0,0,3
1,13,0,1,bc,BC46,CCK,yes,259,0,p2,0,1,0,0,1
0,5,0,0,bc,BC47,CCK,yes,259,187,p2,0,3,0,0,3
7,7,0,0,bc,BC48,CCK,yes,259,122,p2,1,4,0,1,6
5,6,0,1,bc,BC49,CCK,yes,259,82,p2,1,8,0,0,9
4,5,0,0,bc,BC5,PRPG,yes,259,179,p2,1,6,1,0,8
4,5,0,0,bc,BC50,CCK,yes,259,99,p2,0,2,0,0,2
3,5,0,2,bc,BC7,T,yes,259,32,p2,0,0,0,0,0
6,5,0,0,bc,BC8,T,yes,259,52,p2,0,0,0,0,0
13,6,2,0,bc,BC9,T,yes,259,73,p2,0,0,0,0,0
13,15,0,0,fh,MF10,CCK,yes,259,53,p2,1,2,0,1,4
2,4,0,0,fh,MF12,CCK,yes,259,24,p2,0,3,0,0,3
5,0,0,0,fh,MF13,HBP,yes,259,66,p2,0,2,0,0,2
2,10,0,0,fh,MF15,PRPG,yes,259,157,p2,1,6,3,0,10
6,10,0,1,fh,MF33,MP,yes,259,162,p2,2,0,0,1,3
5,11,0,0,fh,MF38,PRPG,yes,259,108,p2,1,2,0,1,4
0,1,0,0,fh,MF39,PRPG,yes,259,131,p2,1,2,1,0,4
33,8,0,2,fh,MF41,CCK,yes,259,158,p2,1,0,0,0,1
5,9,0,0,fh,MF42,CCK,yes,259,140,p2,2,2,0,0,4
0,6,1,0,fh,MF44,PRPG,yes,259,28,p2,0,1,0,0,1
0,0,0,0,hc,HC2,AH,yes,260,223,p2,12,2,0,0,14
15,19,0,0,hc,HC4,AH,yes,260,223,p2,10,17,0,0,27
0,7,0,0,hc,HC5,AH,yes,260,20,p2,0,4,0,0,4
1,4,2,1,hc,HC11,JB,yes,260,253,p2,0,1,0,0,1
5,6,0,0,hc,HC12,JB,yes,260,35,p2,0,0,0,0,0
11,11,0,0,hc,HC13,JB,yes,260,149,p2,0,0,0,0,0
7,5,0,1,hc,HC14,JB,yes,260,63,p2,0,0,0,0,0
12,17,0,0,hc,HC15,JB,yes,260,194,p2,0,0,0,0,0
11,3,0,0,hc,HC17,JB,yes,260,216,p2,1,0,0,0,1
7,8,0,2,hc,HC18,JB,yes,260,240,p2,1,0,0,0,1
1,12,0,1,hc,HC23,SMYT,yes,260,140,p2,5,2,0,0,7
4,0,0,0,hc,HC32,NS,yes,260,36,p2,0,0,0,0,0
0,16,0,0,hc,HC33,NS,yes,260,141,p2,1,0,8,0,9
1,20,0,0,hc,HC45,WC,yes,260,250,p2,20,1,0,0,21
3,9,0,0,hc,HC46,WC,yes,260,137,p2,12,0,0,0,12
0,0,0,0,gs,GS3,SMYT,yes,260,160,p2,0,0,0,0,0
0,2,0,0,gs,GS19,WC,yes,260,167,p2,0,0,0,0,0
0,0,0,0,gs,GS23,WC,yes,260,223,p2,0,0,0,0,0
0,0,0,0,gs,GS24,WC,yes,260,206,p2,0,0,0,0,0
0,1,0,0,gs,GS26,TP,yes,260,65,p2,0,0,0,0,0
0,1,0,0,gs,GS34,SMYT,yes,260,223,p2,0,0,0,0,0
0,0,0,0,gs,GS38,WC,yes,260,115,p2,0,0,0,0,0
0,4,0,0,gs,GS39,WC,yes,260,85,p2,0,0,0,0,0
0,0,0,0,gs,GS45,SMYT,yes,260,115,p2,0,0,0,0,0
0,1,0,0,gs,GS46,SMYT,yes,260,180,p2,0,0,0,0,0
0,0,0,0,gs,GS47,NS,yes,260,256,p2,0,0,0,0,0
2,3,0,0,bc,BC19,JB,yes,260,124,p2,0,0,0,0,0
2,1,0,0,bc,BC20,JB,yes,260,102,p2,0,0,0,0,0
9,3,0,0,bc,BC21,JB,yes,260,83,p2,0,0,0,0,0
9,4,0,0,bc,BC24,ECFS,yes,260,128,p2,0,6,0,0,6
20,0,0,1,bc,BC32,NS,yes,260,62,p2,2,0,0,0,2
1,9,0,0,bc,BC33,NS,yes,260,119,p2,0,0,0,0,0
1,8,0,3,bc,BC34,NS,yes,260,95,p2,3,0,0,0,3
12,11,1,2,bc,BC35,NS,yes,260,190,p2,1,0,1,0,2
11,10,0,4,bc,BC36,NS,yes,260,240,p2,1,0,8,0,9
4,7,0,1,bc,BC6,PRPG,yes,260,90,p2,0,3,0,1,4
4,3,2,0,fh,MF1,SMYT,yes,260,200,p2,0,2,0,0,2
6,15,0,0,fh,MF11,MP,yes,260,182,p2,6,3,2,0,11
3,2,1,0,fh,MF18,AH,yes,260,142,p2,3,0,0,0,3
29,7,0,2,fh,MF19,AMK,yes,260,52,p2,4,11,2,1,18
1,7,0,0,fh,MF20,AH,yes,260,205,p2,4,9,0,0,13
0,6,0,0,fh,MF46,SMYT,yes,260,56,p2,1,0,0,0,1
3,11,0,0,fh,MF47,SMYT,yes,260,92,p2,2,2,0,0,4
54,1,1,0,fh,MF48,SMYT,yes,260,28,p2,1,1,0,1,3
0,6,0,0,fh,MF49,NS,yes,260,217,p2,0,0,0,0,0
3,15,0,2,fh,MF6,AH,yes,260,205,p2,8,3,1,0,12
0,0,0,0,hc,HC1,AH,yes,261,128,p2,6,0,0,0,6
0,0,0,0,hc,HC3,AH,yes,261,173,p2,12,0,0,0,12
4,40,0,2,hc,HC6,AMK,yes,261,106,p2,6,1,0,0,7
0,0,0,0,hc,HC9,ECFS,yes,261,29,p2,32,0,0,0,32
0,2,0,0,gs,GS1,AMK,yes,261,140,p2,0,1,0,0,1
0,0,0,0,gs,GS2,AMK,yes,261,169,p2,0,0,0,0,0
0,6,0,2,gs,GS4,BTP,yes,261,65,p2,0,0,0,0,0
0,5,0,0,gs,GS5,BTP,yes,261,85,p2,0,0,0,0,0
0,0,0,0,gs,GS25,BTP,yes,261,180,p2,0,0,0,0,0
0,0,0,0,gs,GS36,AMK,yes,261,49,p2,0,0,0,0,0
0,0,2,0,gs,GS37,AMK,yes,261,34,p2,0,0,0,0,0
2,7,0,0,bc,BC12,BTP,yes,261,101,p2,0,0,0,0,0
2,11,0,0,bc,BC13,BTP,yes,261,52,p2,0,1,0,0,1
0,1,0,7,bc,BC14,BTP,yes,261,160,p2,0,1,0,0,1
9,0,0,1,bc,BC23,ECFS,yes,261,100,p2,5,1,0,0,6
54,7,1,1,fh,MF16,ECFS,yes,261,43,p2,8,4,0,0,12
2,0,0,0,fh,MF4,ECFS,yes,261,60,p2,1,0,0,0,1
7,8,0,0,fh,MF40,JB,yes,261,80,p2,0,0,0,0,0
33,10,0,0,fh,MF5,ECFS,yes,261,86,p2,5,2,2,1,10
4,11,0,0,fh,MF50,AMK,yes,261,74,p2,0,1,0,0,1
0,1,0,3,fh,MF7,AH,yes,261,157,p2,0,0,1,0,1
9,6,0,7,fh,MF9,BTP,yes,261,142,p2,0,0,0,0,0
17,14,0,0,hc,HC7,AMK,yes,262,149,p2,5,1,0,1,7
0,19,0,0,hc,HC26,MP,yes,262,76,p2,8,5,0,0,13
10,16,0,4,hc,HC35,BTP,yes,262,63,p2,3,4,0,0,7
4,3,0,0,gs,GS17,JB,yes,262,209,p2,0,0,0,0,0
1,4,2,0,gs,GS18,JB,yes,262,233,p2,0,0,0,0,0
3,2,0,0,gs,GS29,JB,yes,262,172,p2,0,0,0,0,0
0,0,0,0,gs,GS41,BTP,yes,262,220,p2,0,0,0,0,0
2,2,0,0,gs,GS44,JB,yes,262,249,p2,0,0,0,0,0
1,2,0,0,bc,BC15,BTP,yes,262,190,p2,2,0,0,0,2
18,21,0,7,bc,BC16,BTP,yes,262,123,p2,0,0,0,0,0
32,22,0,1,fh,MF2,MP,yes,262,103,p2,3,2,0,1,6
8,3,0,0,fh,MF21,JB,yes,262,90,p2,0,0,0,0,0
11,12,0,1,fh,MF23,BTP,yes,262,98,p2,1,1,0,0,2
11,8,0,8,fh,MF27,BTP,yes,262,166,p2,3,8,0,0,11
7,6,0,0,fh,MF29,JB,yes,262,122,p2,0,0,0,0,0
16,10,0,0,fh,MF30,MP,yes,262,200,p2,6,0,0,1,7
13,8,0,1,fh,MF31,JB,yes,262,41,p2,0,0,0,0,0
26,11,0,4,fh,MF32,JB,yes,262,24,p2,0,3,0,0,3
9,5,2,0,fh,MF34,JB,yes,262,155,p2,0,0,0,0,0
22,5,0,0,fh,MF37,MP,yes,262,52,p2,0,0,1,1,2
0,12,0,0,fh,MF43,BTP,yes,262,142,p2,1,4,0,0,5
0,0,0,0,fh,MF8,JB,yes,262,64,p2,0,0,0,0,0
0,0,0,0,hc,HC16,JB,yes,265,164,p2,15,1,0,0,16
0,0,0,0,hc,HC24,MP,yes,265,164,p2,19,0,0,0,19
0,0,0,0,hc,HC25,MP,yes,265,185,p2,25,0,0,0,25
28,11,0,0,hc,HC43,WC,yes,265,196,p2,1,0,7,0,8
1,40,0,0,hc,HC44,WC,yes,265,135,p2,7,6,0,0,13
0,0,0,0,gs,GS9,WC,yes,265,122,p2,0,0,0,0,0
0,0,0,0,gs,GS20,WC,yes,265,120,p2,0,0,0,0,0
0,0,0,0,gs,GS42,WC,yes,265,85,p2,0,0,0,0,0
0,0,0,0,gs,GS43,WC,yes,265,66,p2,0,0,0,0,0
6,15,0,0,bc,BC17,JB,yes,265,112,p2,3,1,0,0,4
1,8,0,0,bc,BC18,JB,yes,265,53,p2,2,1,0,0,3
1,0,0,0,bc,BC42,WC,yes,265,178,p2,0,0,0,0,0
21,3,0,0,bc,BC43,WC,yes,265,46,p2,1,2,0,0,3
2,5,0,0,bc,BC44,WC,yes,265,77,p2,1,0,0,0,1
10,4,0,0,bc,BC45,WC,yes,265,188,p2,0,0,0,0,0
0,6,0,0,fh,MF14,WC,yes,265,157,p2,0,0,0,0,0
54,13,0,1,fh,MF17,JB,yes,265,74,p2,7,0,1,0,8
19,7,2,1,fh,MF26,WC,yes,265,145,p2,2,1,0,1,4
4,9,0,0,fh,MF28,JB,yes,265,100,p2,14,0,0,0,14
14,7,0,0,fh,MF45,WC,yes,265,168,p2,0,0,0,0,0
2,5,0,0,hc,HC38,TP,yes,266,100,p2,0,0,0,0,0
19,27,0,4,hc,HC40,TP,yes,266,224,p2,29,0,0,0,29
0,0,0,0,gs,GS15,TP,yes,266,190,p2,0,0,0,0,0
0,0,0,0,gs,GS16,TP,yes,266,170,p2,0,0,0,0,0
0,0,0,0,bc,BC29,TP,yes,266,142,p2,0,0,0,0,0
26,9,0,0,fh,MF22,TP,yes,266,85,p2,3,4,0,0,7
11,4,0,2,fh,MF24,MP,yes,266,251,p2,8,0,0,1,9
0,0,0,0,fh,MF35,TP,yes,266,250,p2,0,0,0,0,0
0,8,0,0,hc,HC19,JC,yes,267,104,p2,3,1,0,0,4
6,1,0,0,hc,HC20,JC,yes,267,67,p2,3,2,0,0,5
4,9,0,0,hc,HC22,JC,yes,267,255,p2,2,1,0,0,3
10,11,2,0,bc,BC37,HBP,yes,267,229,p2,2,0,0,0,2
7,6,0,2,bc,BC38,HBP,yes,267,136,p2,0,0,0,0,0
0,6,0,0,bc,BC39,HBP,yes,267,208,p2,0,0,0,0,0
0,3,0,0,bc,BC40,HBP,yes,267,195,p2,0,2,0,0,2
0,7,0,0,bc,BC41,HBP,yes,267,154,p2,0,1,0,0,1
1,1,0,0,fh,MF25,JC,yes,267,48,p2,0,0,0,0,0
10,21,0,0,fh,MF3,HBP,yes,267,179,p2,0,0,0,0,0
