abund.p,abund.jm,abund.cm,abund.hc,food.source,site.id,tc,Covid,date,time,cb.phase,litter,bins,others,feeding,f.total
0,0,0,0,bc,BC29,TP,no,2,97,b,0,0,0,0,0
4,4,0,0,bc,BC30,TP,no,2,131,b,0,0,0,0,0
2,9,0,0,bc,BC31,TP,no,2,191,b,0,0,0,0,0
12,7,0,2,bc,BC37,HBP,no,2,155,b,2,2,0,1,5
1,3,0,0,bc,BC38,HBP,no,2,115,b,1,2,0,0,3
11,3,0,0,bc,BC39,HBP,no,2,25,b,1,1,0,0,2
13,2,0,0,bc,BC40,HBP,no,2,55,b,2,0,0,1,3
38,1,0,0,bc,BC41,HBP,no,2,85,b,2,3,0,0,5
1,4,0,0,bc,BC42,WC,no,2,215,b,1,0,0,1,2
8,10,0,0,bc,BC43,WC,no,2,95,b,0,3,0,0,3
17,6,0,0,bc,BC44,WC,no,2,30,b,1,0,0,0,1
3,9,0,0,bc,BC45,WC,no,2,174,b,2,0,0,0,2
5,5,1,0,bc,BC7,T,no,2,137,b,0,0,0,0,0
1,1,1,0,bc,BC8,T,no,2,90,b,0,1,0,0,1
0,11,0,0,hc,HC14,JB,no,3,40,b,4,0,0,0,4
0,2,2,9,hc,HC31,MP,no,3,244,b,0,2,0,0,2
0,16,2,2,gs,GS6,ECFS,no,3,70,b,0,0,0,0,0
0,2,0,0,gs,GS7,ECFS,no,3,35,b,0,0,0,0,0
0,2,0,0,gs,GS8,CCK,no,3,20,b,3,1,0,0,4
0,10,0,0,gs,GS17,JB,no,3,100,b,0,0,0,0,0
0,6,0,0,gs,GS18,JB,no,3,125,b,0,0,0,0,0
0,1,0,0,gs,GS29,JB,no,3,182,b,0,0,0,0,0
0,0,0,0,gs,GS30,PRPG,no,3,180,b,0,0,0,0,0
0,0,0,0,gs,GS44,JB,no,3,121,b,0,0,0,0,0
0,0,0,2,gs,GS47,NS,no,3,30,b,0,0,0,0,0
8,4,0,3,bc,BC11,T,no,3,63,b,1,0,0,0,1
7,17,0,0,bc,BC12,BTP,no,3,69,b,0,0,0,0,0
